Entity,Code,Year,Methyl Bromide,Carbon Tetrachloride,Hydrochlorofluorocarbons (HCFCs),Chlorofluorocarbons (CFCs),Methyl Chloroform,Halons
Africa,,1991,1815.5,,,11987.3,,3810.2
Africa,,1995,2741.4,926.4,244.9,14030.1,164.6,2210.8
Africa,,1996,2434.5,545.5,364.2,15319.7,98.9,2494.8
Africa,,1997,2373.3,541.8,459.2,14608.3,95.9,2268.3
Africa,,1998,3179.7,377,515.6,14238.1,97.2,3348.6
Africa,,1999,2269.5,290.3,522,12411.4,73.1,2223.4
Africa,,2000,2649.1,285.4,502.8,11979.1,68.6,2239.9
Africa,,2001,3558.8,276,496,11020.4,61.6,2515.6
Africa,,2002,1846.3,245.3,693,10942.1,62.6,1954.7
Africa,,2003,1924.9,221.4,626.1,9448.9,54.9,1377.4
Africa,,2004,1904,198.4,738,7053.7,53.2,1251.7
Africa,,2005,1563.3,25,807.2,4074.7,28.7,1025.6
Africa,,2006,1188.6,24.7,1049.3,2566,21.2,456.7
Africa,,2007,783.9,4.4,1478.9,1050.9,7.4,85.4
Africa,,2008,1018.4,2.3,1564.7,591.7,3.1,68.6
Africa,,2009,757.5,0.1,2197.3,447.6,1.3,0
Africa,,2010,648.3,0,2247.56,166.5,0,0
Africa,,2011,557.7,0,2176.29,-8,8.1,0
Africa,,2012,374.2,0,2336.61,-11,3.6,0
Africa,,2013,203.9,0,1792,0,-2.9,0
Africa,,1989,,9803,168.8,21352.7,559.7,
Africa,,1993,,984.8,,14049.3,423.5,7191.6
Africa,,1994,,859,294.6,13005.7,184.3,1804.8
Asia + Pacific,,1991,5149.6,24989.2,2752.7,166767.7,21272.5,56472.9
Asia + Pacific,,1995,4912.3,4662.4,8507.3,150893.3,5172.4,39214.9
Asia + Pacific,,1996,4753.8,10051.9,7616.1,90658.2,1739.8,38188.8
Asia + Pacific,,1997,5454.2,10567.3,8526.3,94909.5,1600.1,44159.1
Asia + Pacific,,1998,5764.8,93842.3,7712.2,89155.9,1359.9,28015.3
Asia + Pacific,,1999,4912.2,51202.2,11049.2,76074,1478.8,23598.8
Asia + Pacific,,2000,5368.4,44399.4,12098.6,73817.9,1541.2,20124.1
Asia + Pacific,,2001,4072.8,26941.2,12239.1,65319.2,1147.3,15033.5
Asia + Pacific,,2002,3660.8,19392.9,12754,59550.3,-671.5,10639.1
Asia + Pacific,,2003,2295.5,35241.1,14955.7,46706.3,1216.6,7213
Asia + Pacific,,2004,2166.2,15552.4,16345.5,38264,691.9,3621.2
Asia + Pacific,,2005,1365.7,2656.2,17372.5,26779.4,550.6,5382.4
Asia + Pacific,,2006,931.6,2013.3,21732,23005.1,569.8,1631
Asia + Pacific,,2007,961.6,1037.5,24570.3,10052.6,512.7,1698.5
Asia + Pacific,,2008,856.3,958.7,22997.5,2750.6,392.4,1714.3
Asia + Pacific,,2009,553.9,158.5,25730.1,1598.4,269.1,2107.5
Asia + Pacific,,2010,516.1,302.7,27569.7,1058.4,66.9,-56
Asia + Pacific,,2011,425.4,277,27799.25,-86.2,10,0
Asia + Pacific,,2012,348.1,219.5,28822.75,-195.3,0,-70.6
Asia + Pacific,,2013,172.4,234.2,21781.75,-595.2,0,-0.4
Asia + Pacific,,1989,,121078,3034.4,243565.6,21170.9,
Asia + Pacific,,1992,,54612.3,3542.6,174738.7,22603.3,44169.6
Asia + Pacific,,1993,,63704.5,6443,160217,10718.3,29483.1
Asia + Pacific,,1994,,21465.9,5760.7,141646.3,2763.5,27631.3
Asia + Pacific,,1990,,,,166284.7,663.8,43791.5
Australia + New Zealand,,1991,503.4,,,7564.2,468,448.8
Australia + New Zealand,,1992,383.4,12.3,147.3,6207.2,559.4,429.7
Australia + New Zealand,,1993,652.2,1.5,220.7,4214.8,385.6,0
Australia + New Zealand,,1994,88.5,0.8,142.3,4232.7,237.4,0
Australia + New Zealand,,1995,374.9,0.3,192.7,2773.6,101.4,0
Australia + New Zealand,,1996,437,0.4,252.4,235.8,0,0
Australia + New Zealand,,1997,253.8,0.5,244.6,183.9,0,0
Australia + New Zealand,,1998,362.7,0.2,281.7,195.1,0,-19.5
Australia + New Zealand,,1999,343.7,0,282.2,274.1,0,0
Australia + New Zealand,,2000,310.7,0,243.9,3.9,0,-54.7
Australia + New Zealand,,2001,211.3,0,179.2,6,0,-3.3
Australia + New Zealand,,2002,220.1,0,211.2,5.1,0,-3.9
Australia + New Zealand,,2003,121.9,0,191.2,1.1,0,0
Australia + New Zealand,,2004,134.3,0,184,-62.9,0,-33
Australia + New Zealand,,2005,95.6,0,175.4,-51.4,0,0
Australia + New Zealand,,2006,51.5,0,138.1,-80,0,0
Australia + New Zealand,,2007,37.6,0,137.3,-55,0,0
Australia + New Zealand,,2008,24.6,0.1,103.5,-42,0,0
Australia + New Zealand,,2009,20,0,101.1,-46.4,0,0
Australia + New Zealand,,2010,20.5,0.1,64.5,-23.9,0,-56
Australia + New Zealand,,2011,20,0,68.41,-30.1,0,0
Australia + New Zealand,,2012,15.6,0,41.36,-15.2,0,-69.8
Australia + New Zealand,,2013,16.8,0,47.52,-7.5,0,0
Australia + New Zealand,,2014,18.3,0,6.4,-14.6,0,0
Australia + New Zealand,,1989,,9.1,171.4,15477.3,951.9,936
Australia + New Zealand,,1990,,,,7974.8,,655
Central Europe,,1991,601.3,,,,,
Central Europe,,1995,789.1,-1163,236.7,11755.3,244.7,212.6
Central Europe,,1996,919.3,701.4,262.8,7179.6,201.4,310.2
Central Europe,,1997,665.7,-85.4,349.6,7022.4,22.4,195.8
Central Europe,,1998,676.7,2142.6,390.3,5931.2,47.5,269.3
Central Europe,,1999,551.3,-655.8,414,3693.7,50.5,61.5
Central Europe,,2000,498.5,-134.1,561.1,2383.8,24.5,140.5
Central Europe,,2001,211.9,68.4,455.9,1934.2,15.2,183.8
Central Europe,,2002,465.7,119.1,480.5,2236.2,15,39
Central Europe,,2003,321.9,313.9,555.4,1802.3,14.5,50
Central Europe,,1989,,8240.9,124.8,39905.7,493.2,
Central Europe,,1993,,1122.1,114.5,15076.3,336.1,820.9
Central Europe,,1994,,7195.6,154.1,10211.6,295.8,396.4
Central Europe,,1992,,,,15563,,1046.4
Eastern Europe,,1991,114.2,2209.9,356.3,44652.4,61.1,10186.4
Eastern Europe,,1994,1043.3,35.3,121,26787.9,51.9,1350.5
Eastern Europe,,1995,1857.5,0,115.2,22615.6,32.9,1128.7
Eastern Europe,,1996,-283.2,548.8,105.6,14997.8,10.1,1556.5
Eastern Europe,,1997,32,-2177.6,114.8,13269.1,2.8,992.9
Eastern Europe,,1998,9.5,2934.3,102.3,13582.6,1,523.9
Eastern Europe,,1999,6.9,1.2,158,16110.8,0.2,410.3
Eastern Europe,,2000,13.2,0.8,176.1,24825.5,0,1793.8
Eastern Europe,,2001,10.8,0,796.5,1333.5,0,37.7
